Iteration Time FPS BandWidth[GB/S] GFLOPS[GB/S] Acc.
0 0.00258872 12361.3 222.504 494.453 92.20
1 0.00229139 13965.3 251.376 558.612 92.36
2 0.00198125 16151.4 290.725 646.056 92.11
3 0.00167334 19123.4 344.221 764.936 91.48
4 0.00150974 21195.7 381.523 847.83 90.87
5 0.001382 23154.9 416.789 926.197 90.02
6 0.00134834 23732.9 427.193 949.317 88.59
7 0.00127597 25079.1 451.423 1003.16 86.20
8 0.00135846 23556.1 424.009 942.243 82.19
9 0.00125995 25397.9 457.162 1015.92 79.16
10 0.00122662 26088 469.584 1043.52 77.02
11 0.00115404 27728.6 499.115 1109.14 74.71
